Movie,Year,Gross,Ratings,Budget,Screens,Views,Likes,Dislikes,Comments,Aggregate Followers
13 Sins,2014,9130,6.3,4000000,45,3280543,4632,425,636,1120000
22 Jump Street,2014,192000000,7.1,50000000,3306,583289,3465,61,186,12350000
3 Days to Kill,2014,30700000,6.2,28000000,2872,304861,328,34,47,483000
300: Rise of an Empire,2014,106000000,6.3,110000000,3470,452917,2429,132,590,568000
A Haunted House 2,2014,17300000,4.7,3500000,2310,3145573,12163,610,1082,1923800
A Long Way Off,2014,29000,4.6,500000,,91137,112,7,1,310000
A Million Ways to Die in the West,2014,42600000,6.1,40000000,3158,3013011,9595,419,1020,8153000
A Most Violent Year,2014,5750000,7.1,20000000,818,1854103,2207,197,593,130655
A Walk Among the Tombstones,2014,26000000,6.5,28000000,2714,2213659,2210,419,382,125646
About Last Night,2014,48600000,6.1,12500000,2253,5218079,11709,532,770,21697300
American Sniper,2014,350000000,7.3,58800000,3555,3927600,13143,573,3134,24300
And So It Goes,2014,15200000,5.7,30000000,1762,519327,963,94,70,386400
Annabelle,2014,84300000,5.4,6500000,3185,19032902,38810,4382,4392,19420105
Annie,2014,85900000,5.2,65000000,3116,930006,5150,707,1484,5130800
Atlas Shrugged: Who Is John Galt?,2014,830000,4.4,5000000,65,595194,85,36,39,15112
Barefoot,2014,11800,6.6,6000000,18,3915978,6983,247,460,253000
Better Living Through Chemistry,2014,72300,6.3,5000000,25,1391527,2479,146,182,1658900
Beyond the Lights,2014,14600000,6.9,7000000,31,1828235,7633,235,685,116100
Big Hero 6,2014,222000000,7.9,165000000,3761,4700023,14163,538,1293,199800
Black or White,2014,21600000,6.6,9000000,1823,1348142,4404,307,1033,888000
Blended,2014,46300000,6.5,40000000,3555,7977747,18690,1940,2214,2417000
Boyhood,2014,25400000,8,4000000,771,1671367,4572,207,741,105000
Brick Mansions,2014,20300000,5.7,28000000,2647,2088644,6633,255,1235,3209000
Cake,2014,1870000,6.5,7000000,482,4398243,9202,454,1150,4769100
Camp X-Ray,2014,9840,7,1000000,,7128,1,0,0,2182
Cantinflas,2014,6370000,6.7,3000000,382,2902492,9522,558,2296,
Captain America: The Winter Soldier,2014,260000000,7.8,170000000,3938,760262,2918,66,837,8030000
Dawn of the Planet of the Apes,2014,209000000,7.7,170000000,3967,1735700,6772,187,889,114000
Deliver Us from Evil,2014,30500000,6.2,30000000,97,465219,1348,72,162,744600
Devil's Due,2014,15800000,4,7000000,2544,1844690,3728,581,729,9536
Divergent,2014,151000000,6.8,85000000,3936,463866,3400,152,987,1030000
Dolphin Tale 2,2014,42000000,6.4,36000000,3376,384448,1230,129,228,276750
Dracula Untold,2014,55900000,6.3,70000000,,9149892,26427,1342,5278,395500
Draft Day,2014,28800000,6.8,27000000,2781,522630,1248,153,227,147000
Dumb and Dumber To,2014,86200000,5.8,35000000,3154,3287020,7698,446,1122,17064000
Earth to Echo,2014,38900000,5.8,13000000,3230,1488038,2571,553,643,88586
Edge of Tomorrow,2014,100000000,7.9,178000000,3490,15568277,29251,1730,6439,5610000
Endless Love,2014,23400000,6.3,20000000,2800,11850723,24226,1343,2577,21500
Falcon Rising,2014,8690,5.7,4500000,,735551,636,98,92,1060000
Foxcatcher,2014,1210000,7.1,24000000,66,6685088,8369,467,1580,13720000
Fury,2014,85700000,7.6,68000000,3313,2276605,3946,331,1286,1888000
God Help the Girl,2014,102000,6.4,1850000,8,1034480,6490,181,374,66600
God's Not Dead,2014,60800000,5,2000000,780,456564,1706,413,890,412000
God's Pocket,2014,104000,6.1,1000000,3,99427,47,10,12,
Godzilla,2014,201000000,6.5,160000000,3952,1156609,2968,112,547,1870000
Gone Girl,2014,168000000,8.2,61000000,3014,396010,1390,58,342,20640000
Guardians of the Galaxy,2014,333000000,8.1,170000000,4080,1313548,8567,269,1285,2750000
Happy Christmas,2014,30100,5.6,70000,9,924347,1406,107,132,5887700
Heaven Is for Real,2014,91400000,5.8,12000000,2417,175017,461,34,133,
Hercules,2014,72700000,6.1,100000000,3595,9324678,15479,1130,3925,9414000
Horrible Bosses 2,2014,54400000,6.3,42000000,93,1292235,5284,124,362,1650000
How to Train Your Dragon 2,2014,177000000,7.9,145000000,4253,11472161,22779,862,2863,671000
If I Stay,2014,50500000,6.8,11000000,1272,9222933,41728,924,3609,1800000
In the Name of My Daughter,2014,275000,6.1,8932779.93,6,8210,6,0,0,58900
Inherent Vice,2014,8090000,6.7,20000000,645,1167941,2651,82,797,
Interstellar,2014,188000000,8.7,165000000,3561,5421705,16635,751,4316,1865000
Into the Storm,2014,47600000,5.8,50000000,3434,4270410,8886,569,3058,301000
Into the Woods,2014,128000000,6,50000000,2440,817242,4391,112,346,4720000
It Follows,2014,14700000,6.9,2000000,4,4877,6,1,1,
Jack Ryan: Shadow Recruit,2014,50500000,6.2,60000000,3387,3320754,4322,347,1105,147000
Jersey Boys,2014,47000000,6.9,40000000,2905,1438350,4028,133,543,27323
John Wick,2014,43000000,7.2,20000000,2589,4846645,14722,405,2732,
Kill the Messenger,2014,2450000,7,5000000,374,3650720,6917,234,1119,1045200
Kingsman: The Secret Service,2014,128000000,7.8,81000000,3204,2767873,46023,944,6946,5407000
Kung Fu Jungle,2014,129000,6.5,25000000,28,289922,143,17,9,
Left Behind,2014,14000000,3.1,16000000,1825,5611593,11187,2111,7595,116800
Let's Be Cops,2014,82400000,6.5,17000000,1534,4450824,7315,546,909,2356000
Life After Beth,2014,8300,5.7,2400000,,1222921,5553,193,335,1463000
Locker 13,2014,2470,4.8,300000,3,30529,18,4,2,18100
Lucy,2014,127000000,6.4,40000000,3173,1142964,2346,167,311,
Maleficent,2014,241000000,7,180000000,3948,557012,3528,135,464,5633
Maps to the Stars,2014,348000,6.3,15000000,66,177465,595,39,71,644000
Million Dollar Arm,2014,36400000,7.1,25000000,3019,1470438,4314,168,511,130000
Moms' Night Out,2014,10400000,5.4,5000000,1044,667852,469,38,44,919000
Mr. Peabody & Sherman,2014,112000000,6.9,145000000,3934,277848,890,45,88,8839043
Muppets Most Wanted,2014,51200000,6.5,50000000,3194,3037329,6696,564,1061,9850000
My Old Lady,2014,4010000,6.3,5000000,255,446576,659,50,45,
Need for Speed,2014,43600000,6.6,66000000,3115,1451649,7342,533,2305,2594000
Neighbors,2014,150000000,6.4,18000000,3279,2554307,8722,298,693,14240000
Night at the Museum: Secret of the Tomb,2014,114000000,6.3,127000000,22,3779254,13535,362,1221,6480000
Nightcrawler,2014,32300000,7.9,8500000,2766,6082510,12522,543,2170,
No Good Deed,2014,52500000,5.6,13200000,2130,608230,895,118,387,1550500
Noah,2014,101000000,5.9,125000000,3567,13661095,41254,3812,18077,1810000
Non-Stop,2014,91400000,7,50000000,3090,367551,700,19,37,648786
Not Cool,2014,35700,5.2,600000,,5403836,187162,3145,24919,2720000
Ouija,2014,50800000,4.4,5000000,2061,11724815,30208,2150,4926,130000
Paddington,2014,76100000,7.2,55000000,3303,2028767,3829,500,665,124000
Paranormal Activity: The Marked Ones,2014,32500000,5,5000000,2867,105480,352,45,85,11444
Penguins of Madagascar,2014,83300000,6.8,132000000,32,1223790,2934,123,226,47200
Planes: Fire & Rescue,2014,59200000,5.9,50000000,3826,2117798,2124,485,626,3603000
Pompeii,2014,23200000,5.6,100000000,2658,355563,1568,106,267,370000
Ride Along,2014,134000000,6.1,25000000,2663,8429023,27484,977,2195,21586000
Rio 2,2014,132000000,6.4,103000000,3948,3849768,9783,704,1151,154400
RoboCop,2014,58600000,6.2,100000000,3372,3305047,11733,1077,4319,250000
Rosewater,2014,3090000,6.6,5000000,371,909596,2214,186,632,
Rudderless,2014,37400,7.5,5000000,,827239,3221,89,432,217000
Sabotage,2014,10500000,5.7,35000000,2486,3466458,6096,411,977,3678000
Selma,2014,52100000,7.5,20000000,2179,3743181,16782,565,4973,9224
Serena,2014,176000,5.4,30000000,59,3726728,6221,405,1074,
Seventh Son,2014,17200000,5.5,95000000,2875,23360,36,5,5,804300
Sex Tape,2014,38500000,5.1,40000000,3062,2757667,3030,418,251,4521000
Sin City: A Dame to Kill For,2014,13800000,6.6,65000000,2894,5223362,18770,627,2796,8620000
Son of God,2014,59700000,5.5,22000000,3260,943306,3006,325,1401,3185900
Song One,2014,20200,5.8,6000000,27,2426078,9230,184,373,33500
St. Vincent,2014,44100000,7.3,13000000,18,4176181,9463,310,885,269849
Taken 3,2014,89300000,6.1,48000000,21,1544390,2975,136,380,216000
Tammy,2014,84500000,4.8,20000000,3465,3429055,7682,675,727,727000
Teenage Mutant Ninja Turtles,2014,191000000,5.9,125000000,3845,7908038,27312,3439,8533,1260000
That Awkward Moment,2014,26000000,6.1,8000000,2809,6132551,14539,653,846,11783000
The Admiral,2014,2590000,7.1,9500000,1586,134353,280,43,308,
The Amazing Spider-Man 2,2014,203000000,6.8,200000000,4324,386857,4996,233,864,4520000
The Babadook,2014,924000,6.9,2000000,147,6501107,14139,890,2928,
The Best of Me,2014,26800000,6.6,26000000,8,5546710,15351,535,1271,48231
The Book of Life,2014,50200000,7.3,50000000,12,5165441,17476,871,3229,10364000
The Boxtrolls,2014,50800000,6.8,60000000,3464,2545852,3964,378,554,1280000
The Devil's Hand,2014,4240,4.8,7000000,,330363,406,52,92,
The Drop,2014,10700000,7.1,12600000,809,2897407,5953,153,569,
The Equalizer,2014,102000000,7.2,55000000,3236,7075635,15858,574,1966,1800000
The Expendables 3,2014,39300000,6.1,90000000,90,14453673,33092,1336,5005,1480000
The Fault in Our Stars,2014,125000000,7.9,12000000,3173,32626778,370552,4752,38363,4240000
The Fluffy Movie: Unity Through Laughter,2014,2820000,7,,432,10747,4,1,1,818000
The Gambler,2014,33600000,6.1,25000000,103,4790221,4740,454,773,2740000
The Giver,2014,45100000,6.5,25000000,702,523457,2187,149,565,184100
The Good Lie,2014,2720000,7.4,20000000,461,1303646,3306,211,564,759800
The Hobbit: The Battle of the Five Armies,2014,255000000,7.5,250000000,3875,3554189,14152,262,1782,2613000
The Homesman,2014,2430000,6.6,16000000,4,26528,58,1,8,25748
The Hundred-Foot Journey,2014,54200000,7.3,22000000,2023,24809,277,12,52,20700
The Hunger Games: Mockingjay - Part 1,2014,337000000,6.8,125000000,4151,3305417,14684,332,1176,31030000
The Identical,2014,2820000,5,12000000,,309610,729,97,113,275873
The Imitation Game,2014,91100000,8.1,14000000,747,3047849,11748,253,1237,
The Interview,2014,6110000,6.7,44000000,78,6231191,13331,1265,3430,6619435
The Judge,2014,47100000,7.5,50000000,3003,1325872,4829,104,378,5563500
The Legend of Hercules,2014,18800000,4.2,70000000,2104,797229,1606,630,456,1174806
The Lego Movie,2014,258000000,7.8,60000000,3775,439159,1847,105,289,4690000
The Loft,2014,5980000,6.3,14000000,1841,381071,238,27,43,14586
The Maze Runner,2014,102000000,6.8,34000000,173,3156436,18124,213,2753,4734000
The Monuments Men,2014,78000000,6.1,70000000,3083,10649,21,1,0,3849
The November Man,2014,25000000,6.3,15000000,2776,1935432,3089,155,567,148000
The Nut Job,2014,64200000,5.8,42000000,3427,2269032,3046,546,554,
The One I Love,2014,512000,7.1,100000,20,1223891,1309,148,239,226000
The Other Woman,2014,83900000,6,40000000,3205,8479994,35071,2233,3479,2731000
The Purge: Anarchy,2014,71500000,6.5,9000000,2805,1142295,3895,193,882,49424
The Pyramid,2014,2750000,4.7,6500000,685,4092871,8781,794,2046,420000
The Rover,2014,1110000,6.4,12250000,5,702,1,0,1,9842
The Salvation,2014,5000,6.8,11712310.56,2,253631,170,11,58,
The Theory of Everything,2014,35900000,7.8,15000000,15,3226251,18240,261,2104,8204
The Water Diviner,2014,4190000,7.2,22500000,320,3281842,4968,445,2099,1899400
The Woman in Black 2: Angel of Death,2014,26500000,4.9,1000000,2602,698,16,1,9,3086
Think Like a Man Too,2014,65200000,5.7,24000000,2225,2063089,5858,336,346,24388000
Transcendence,2014,23000000,6.3,100000000,3455,14141585,36646,1459,6811,5987
Transformers: Age of Extinction,2014,245000000,5.8,210000000,4233,170909,791,362,230,2814900
Tusk,2014,1820000,5.4,2800000,449,473100,670,104,380,180100
Unbroken,2014,116000000,7.2,65000000,3131,6637551,19833,815,3403,269000
Veronica Mars,2014,3320000,6.8,6000000,291,476747,2079,166,232,2536000
When the Game Stands Tall,2014,30100000,6.6,15000000,794,280566,477,56,82,585000
Whiplash,2014,13100000,8.6,3300000,42,7750223,17541,631,2760,858000
White God,2014,280000,6.9,2487820.27,2,166612,571,36,70,
Wild,2014,37900000,7.2,15000000,1061,5976092,9343,649,1333,781200
Wild Tales,2014,3080000,8.2,3300000,4,697105,1023,39,429,
Winter's Tale,2014,22500,6.2,60000000,2965,719976,1312,76,189,1810000
Wish I Was Here,2014,3590000,6.7,6000000,68,865690,1375,79,67,1818778
X-Men: Days of Future Past,2014,234000000,8.1,200000000,3996,2285,9,0,1,10280000
Yves Saint Laurent,2014,717000,6.2,12000000,2,550734,894,44,77,168700
Jurassic World,2015,643000000,7.3,150000000,4274,9143740,34746,1074,5107,6180000
Avengers: Age of Ultron,2015,458000000,7.8,250000000,4276,10366624,31552,989,3843,10070000
Furious 7,2015,350000000,7.4,190000000,4004,59056,330,8,39,11890000
Inside Out,2015,345000000,8.6,175000000,3946,1438926,4632,262,496,232000
Minions,2015,325000000,6.6,74000000,4301,1341909,1607,764,48,250000
Pitch Perfect 2,2015,183000000,6.7,29000000,3473,9214467,39824,998,1987,7336000
Mission: Impossible - Rogue Nation,2015,171000000,7.8,150000000,3956,8748596,20352,649,1842,6605000
Home,2015,177000000,6.7,135000000,3708,10341783,24413,1675,3426,5070000
Fifty Shades of Grey,2015,166000000,4.2,40000000,3646,31859569,49900,13960,9119,946000
The SpongeBob Movie: Sponge Out of Water,2015,162000000,6.1,74000000,3641,5536822,29411,1840,1281,184000
San Andreas,2015,154000000,6.4,110000000,3777,12632836,36508,2210,7559,9737600
Mad Max: Fury Road,2015,153000000,8.3,150000000,3702,2732371,13030,497,1774,768700
Straight Outta Compton,2015,135000000,8.3,28000000,2757,848970,12607,237,1560,55618
Insurgent,2015,130000000,6.4,110000000,3875,2834800,5664,5746,66,4240000
Spy,2015,110000000,7.3,65000000,3711,6649290,20750,750,1666,265000
Trainwreck,2015,105000000,6.7,35000000,3158,9511288,19903,2581,2955,2014000
Tomorrowland,2015,93200000,6.6,190000000,3972,999867,4212,66,250,1198000
Get Hard,2015,90400000,6.1,40000000,3175,10078326,26565,1418,2395,2939000
Terminator Genisys,2015,89400000,6.8,155000000,3758,84870,265,13,63,3877901
Ted 2,2015,81300000,6.6,68000000,3442,6711914,29903,984,1767,10988000
Paul Blart: Mall Cop 2,2015,71000000,4.3,30000000,90,2389347,8809,935,892,1618000
Pixels,2015,71000000,5.6,88000000,3723,5340100,26134,2007,3717,2466000
Magic Mike XXL,2015,65900000,6.2,14800000,3355,5128288,18475,858,1579,8392000
The Wedding Ringer,2015,64500000,6.7,23000000,3003,4826940,10521,478,755,2284000
Vacation,2015,54900000,6.3,31000000,3411,2554327,10062,464,871,2347000
Fantastic Four,2015,52700000,4,120000000,3995,7560211,24168,3524,7139,881000
Poltergeist,2015,47400000,5,35000000,3240,3651828,13998,969,2205,1066
Jupiter Ascending,2015,47400000,5.5,176000000,3181,3920842,10535,565,1668,7460000
The Age of Adaline,2015,42500000,7.3,25000000,2991,11036701,50002,1005,3525,776000
Max,2015,41900000,7,20000000,2855,2947239,19201,625,1842,2113
The Longest Ride,2015,37400000,7.2,34000000,3366,2393017,13291,369,584,324925
The Gift,2015,36100000,7.6,5000000,1648,2513544,6970,270,1105,1655987
The Boy Next Door,2015,35400000,4.6,4000000,2602,5588384,15144,913,1499,4599000
Hot Pursuit,2015,34500000,5,35000000,3003,6964819,26601,1111,1293,1630000
The DUFF,2015,34000000,6.6,8500000,2575,12792898,56001,2083,4102,6714000
Woman in Gold,2015,33300000,7.4,11000000,258,6495,82,3,7,675000
Entourage,2015,32400000,7.1,30000000,3108,1841293,5879,314,634,788000
Paper Towns,2015,31400000,6.9,12000000,3031,2854910,23254,459,1087,4184000
The Lazarus Effect,2015,25800000,5.2,3300000,2666,4442147,10605,691,2739,2007000
Sinister 2,2015,19000000,5.5,10000000,2766,11037833,36874,1885,4360,5699
Ricki and the Flash,2015,23500000,6.1,18000000,1603,638374,4018,130,269,1887
Project Almanac,2015,22300000,6.4,12000000,2893,6646785,16041,955,2787,253499
Hitman: Agent 47,2015,16100000,5.9,35000000,3261,13154873,46684,3565,8578,209000
Dope,2015,16800000,7.5,700000,2002,50444,238,3,28,986572
Hot Tub Time Machine 2,2015,12300000,5.1,14000000,2880,11496,194,9,31,1891977
American Ultra,2015,10900000,6.5,28000000,2778,2996539,1874,32,189,155000
The Gunman,2015,10600000,5.8,40000000,2816,3098749,4311,341,881,1520000
Mortdecai,2015,7610000,5.5,60000000,2648,3850758,13363,453,1276,3045000
Blackhat,2015,7100000,5.4,70000000,2567,2409338,6923,340,714,1334000
Me and Earl and the Dying Girl,2015,6740000,8.2,8000000,34,4032265,18398,302,1298,2208
The Vatican Tapes,2015,1710000,4.5,8495000,420,1364537,3824,689,772,3841
Maggie,2015,131000,5.6,4500000,79,5085068,14359,600,2468,3744000
Americons,2015,129000,7.3,4000000,14,63724,115,28,14,129000
Road Hard,2015,106000,6.3,1500000,22,44963,109,27,42,1188000
